activity,seed,auc,n_samples,n_positive
activity_tm_3kmh,0,0.9939048044713837,3189,1567
activity_tm_3kmh,1,0.9936577232170609,3189,1567
activity_tm_3kmh,2,0.9942223117520185,3189,1567
activity_tm_3kmh,3,0.9943686719854711,3189,1567
activity_tm_3kmh,4,0.9940377876942519,3189,1567
activity_tm_3kmh,5,0.9943399507568634,3189,1567
activity_tm_3kmh,6,0.9946861792661058,3189,1567
activity_tm_3kmh,7,0.9944272947671495,3189,1567
activity_tm_3kmh,8,0.9947188349095911,3189,1567
activity_tm_3kmh,9,0.9943470327036433,3189,1567
activity_tm_3kmh,10,0.9943395573153756,3189,1567
activity_tm_3kmh,11,0.9940094599071322,3189,1567
activity_tm_3kmh,12,0.9941813938372899,3189,1567
activity_tm_3kmh,13,0.9943006066080858,3189,1567
activity_tm_3kmh,14,0.994079492491956,3189,1567
activity_self_selected_gait_speed,0,0.9937470756041236,3257,1585
activity_self_selected_gait_speed,1,0.9936108553574932,3257,1585
activity_self_selected_gait_speed,2,0.993581045386624,3257,1585
activity_self_selected_gait_speed,3,0.9940417792401853,3257,1585
activity_self_selected_gait_speed,4,0.9936319864760842,3257,1585
activity_self_selected_gait_speed,5,0.9938663154876005,3257,1585
activity_self_selected_gait_speed,6,0.994376103723605,3257,1585
activity_self_selected_gait_speed,7,0.9940308363394865,3257,1585
activity_self_selected_gait_speed,8,0.9942112055303156,3257,1585
activity_self_selected_gait_speed,9,0.9938146197153337,3257,1585
activity_self_selected_gait_speed,10,0.9939255580879357,3257,1585
activity_self_selected_gait_speed,11,0.9934531266508686,3257,1585
activity_self_selected_gait_speed,12,0.9941640378548896,3257,1585
activity_self_selected_gait_speed,13,0.9940530994822876,3257,1585
activity_self_selected_gait_speed,14,0.9936225529409989,3257,1585
activity_stationary_walk,0,0.9920775699869656,3395,1643
activity_stationary_walk,1,0.9917767226117721,3395,1643
activity_stationary_walk,2,0.991777764808222,3395,1643
activity_stationary_walk,3,0.9922293832698289,3395,1643
activity_stationary_walk,4,0.9924965329598101,3395,1643
activity_stationary_walk,5,0.9926101323728451,3395,1643
activity_stationary_walk,6,0.9928849248367919,3395,1643
activity_stationary_walk,7,0.9921505237384559,3395,1643
activity_stationary_walk,8,0.9928355942048318,3395,1643
activity_stationary_walk,9,0.9923971768982567,3395,1643
activity_stationary_walk,10,0.992233899454445,3395,1643
activity_stationary_walk,11,0.9920119116106243,3395,1643
activity_stationary_walk,12,0.9924572768935319,3395,1643
activity_stationary_walk,13,0.9921772734473358,3395,1643
activity_stationary_walk,14,0.9921255110236592,3395,1643
activity_sit_to_stand,0,0.9912612905376129,3396,1644
activity_sit_to_stand,1,0.991403290226533,3396,1644
activity_sit_to_stand,2,0.9916626392916263,3396,1644
activity_sit_to_stand,3,0.9911404692864046,3396,1644
activity_sit_to_stand,4,0.9906776683442766,3396,1644
activity_sit_to_stand,5,0.9917188836671887,3396,1644
activity_sit_to_stand,6,0.9921966136719662,3396,1644
activity_sit_to_stand,7,0.9916841649168416,3396,1644
activity_sit_to_stand,8,0.9907023186570232,3396,1644
activity_sit_to_stand,9,0.9913814174138141,3396,1644
activity_sit_to_stand,10,0.9905707345932073,3396,1644
activity_sit_to_stand,11,0.991271706162717,3396,1644
activity_sit_to_stand,12,0.9911092224110922,3396,1644
activity_sit_to_stand,13,0.9917331183548311,3396,1644
activity_sit_to_stand,14,0.9916525708540257,3396,1644
activity_romberg_closed,0,0.9786862004770371,3387,1641
activity_romberg_closed,1,0.9785828913026937,3387,1641
activity_romberg_closed,2,0.9786600241659704,3387,1641
activity_romberg_closed,3,0.9788010272282497,3387,1641
activity_romberg_closed,4,0.9783448613807273,3387,1641
activity_romberg_closed,5,0.9786694476379545,3387,1641
activity_romberg_closed,6,0.9790694216710538,3387,1641
activity_romberg_closed,7,0.9772248642845527,3387,1641
activity_romberg_closed,8,0.9786216322430725,3387,1641
activity_romberg_closed,9,0.9780726277456333,3387,1641
activity_romberg_closed,10,0.9787992821408452,3387,1641
activity_romberg_closed,11,0.9780213221759425,3387,1641
activity_romberg_closed,12,0.9789985711224332,3387,1641
activity_romberg_closed,13,0.9784251354013317,3387,1641
activity_romberg_closed,14,0.977991306672586,3387,1641
ensemble,0,0.9973198071090045,3405,1646
ensemble,1,0.9974472544255994,3405,1646
ensemble,2,0.9972037575199098,3405,1646
ensemble,3,0.997454162139236,3405,1646
ensemble,4,0.9970953064158155,3405,1646
ensemble,5,0.997417551256962,3405,1646
ensemble,6,0.9975885171694676,3405,1646
ensemble,7,0.9974071896865073,3405,1646
ensemble,8,0.9975266931324202,3405,1646
ensemble,9,0.9971754358939997,3405,1646
ensemble,10,0.9972852685408214,3405,1646
ensemble,11,0.9970093053810398,3405,1646
ensemble,12,0.997253838443775,3405,1646
ensemble,13,0.9975173677190108,3405,1646
ensemble,14,0.9973091001528677,3405,1646
gait,0,0.9595655127939381,2888,1412
gait,1,0.9614022662889519,2888,1412
gait,2,0.9603025173311223,2888,1412
gait,3,0.9604862886447562,2888,1412
gait,4,0.9606954904534881,2888,1412
gait,5,0.9616800824523827,2888,1412
gait,6,0.9605078805745565,2888,1412
gait,7,0.9616349793101331,2888,1412
gait,8,0.9620692170094505,2888,1412
gait,9,0.9624190062722157,2888,1412
